crime,year,rate
breakenter,2020,1105.997681
breakenter,2021,812.6541748
breakenter,2022,865.4049072
breakenter,2023,733.1477661
homicide,2014,9.689922333
homicide,2015,18.27986526
homicide,2016,0
homicide,2017,0
homicide,2018,7.9440736770000004
homicide,2019,15.29870701
homicide,2020,0
homicide,2021,7.255840778
homicide,2022,7.035812378
homicide,2023,6.788405418
robbery,2014,707.3643188
robbery,2015,475.2764893
robbery,2016,639.4193115
robbery,2017,729.0199585
robbery,2018,699.0784912
robbery,2019,481.9092712
robbery,2020,408.2541504
robbery,2021,370.0478821
robbery,2022,386.9696655
robbery,2023,420.881134
shooting,2014,9.689922333
shooting,2015,27.4197979
shooting,2016,0
shooting,2017,24.85295296
shooting,2018,31.77629471
shooting,2019,30.59741402
shooting,2020,14.84560585
shooting,2021,0
shooting,2022,7.035812378
shooting,2023,13.57681084
theftfrommv,2014,1172.480591
theftfrommv,2015,941.4130249
theftfrommv,2016,682.6233521
theftfrommv,2017,737.3042603
theftfrommv,2018,897.6803589
theftfrommv,2019,1308.039429
theftfrommv,2020,1002.078369
theftfrommv,2021,464.3738098
theftfrommv,2022,726.3593782
theftfrommv,2023,515.9188232
theftover,2014,358.5271301
theftover,2015,274.1979675
theftover,2016,233.301651
theftover,2017,289.9511108
theftover,2018,349.5392456
theftover,2019,481.9092712
theftover,2020,259.7980957
theftover,2021,188.6518707
theftover,2022,358.826416
theftover,2023,346.2086792
assault,2014,742.6449585
assault,2015,685.0722656
assault,2016,807.8817749
assault,2017,971.9767456
assault,2018,818.2313843
assault,2019,958.671875
assault,2020,573.7006836
assault,2021,817.256897
assault,2022,647.5985107
assault,2023,745.2112427
autotheft,2014,42.84490204
autotheft,2015,27.40289116
autotheft,2016,39.40886688
autotheft,2017,44.18076324
autotheft,2018,90.91460419
autotheft,2019,75.99228668
autotheft,2020,51.12184143
autotheft,2021,122.3105545
autotheft,2022,75.55315399
autotheft,2023,89.21543121
biketheft,2014,556.9837036
biketheft,2015,596.0128784
biketheft,2016,650.2462769
biketheft,2017,624.8422241
biketheft,2018,581.8534546
biketheft,2019,409.189209
biketheft,2020,335.1320496
biketheft,2021,322.4551086
biketheft,2022,356.8617161
biketheft,2023,293.8861084
breakenter,2014,185.6612396
breakenter,2015,308.2825317
breakenter,2016,380.9523926
breakenter,2017,340.8230286
breakenter,2018,430.3291016
breakenter,2019,479.3359375
breakenter,2020,448.736145
breakenter,2021,211.2636871
breakenter,2022,232.0561218
breakenter,2023,320.125946
homicide,2014,0
homicide,2015,0
homicide,2016,0
homicide,2017,0
homicide,2018,0
homicide,2019,5.845560074
homicide,2020,0
homicide,2021,0
homicide,2022,0
robbery,2014,78.54898834
robbery,2015,102.7608414
robbery,2016,124.7947464
robbery,2017,119.9192123
robbery,2018,175.7682343
robbery,2019,210.4401703
robbery,2020,107.9238815
robbery,2021,127.8701248
robbery,2022,102.5364304
robbery,2023,104.9593277
shooting,2014,0
shooting,2015,0
shooting,2016,0
shooting,2017,0
shooting,2018,6.060973167
shooting,2019,0
shooting,2020,0
shooting,2021,0
shooting,2022,5.396654129
shooting,2023,5.24796629
theftfrommv,2014,257.069397
theftfrommv,2015,171.2680664
theftfrommv,2016,157.6354675
theftfrommv,2017,94.67306519
theftfrommv,2018,193.9511414
theftfrommv,2019,192.9034882
theftfrommv,2020,198.8071594
theftfrommv,2021,111.1914139
theftfrommv,2022,136.4471267
theftfrommv,2023,209.9186554
theftover,2014,114.253067
theftover,2015,89.05939484
theftover,2016,85.38587952
theftover,2017,88.36152649
theftover,2018,60.60973358
theftover,2019,58.45560455
theftover,2020,39.76143265
theftover,2021,55.59570694
theftover,2022,48.56988525
theftover,2023,68.22356415
assault,2014,734.9390869
assault,2015,782.4064331
assault,2016,894.435791
assault,2017,849.9744263
assault,2018,916.5533447
assault,2019,1012.155823
assault,2020,660.0985107
assault,2021,634.6551514
assault,2022,809.9536743
assault,2023,1140.904053
autotheft,2014,187.7581635
autotheft,2015,195.6016083
autotheft,2016,218.4087372
autotheft,2017,128.008194
autotheft,2018,196.4042969
autotheft,2019,173.6541748
autotheft,2020,226.6009827
autotheft,2021,373.9053345
autotheft,2022,404.9768372
autotheft,2023,693.2075195
biketheft,2014,53.64519119
biketheft,2015,37.0057106
biketheft,2016,20.80083275
biketheft,2017,117.76754
biketheft,2018,10.07201481
biketheft,2019,14.88464355
biketheft,2020,4.92610836
biketheft,2021,19.67922783
biketheft,2022,28.88364704
biketheft,2023,48.13941193
breakenter,2014,380.8808594
breakenter,2015,174.4554901
breakenter,2016,156.0062408
breakenter,2017,138.2488403
breakenter,2018,166.1882477
breakenter,2019,148.8464355
breakenter,2020,98.52217102
breakenter,2021,93.47633362
breakenter,2022,117.1017303
breakenter,2023,139.6042938
homicide,2014,0
homicide,2015,0
homicide,2016,10.40041637
homicide,2017,0
homicide,2018,0
homicide,2019,4.961547852
homicide,2020,4.92610836
homicide,2021,0
homicide,2022,9.758477211
robbery,2014,278.9549866
robbery,2015,290.7591553
robbery,2016,249.6099854
robbery,2017,343.0619507
robbery,2018,221.5843353
robbery,2019,173.6541748
robbery,2020,93.59606171
robbery,2021,241.0705566
robbery,2022,263.4789124
robbery,2023,264.7667542
shooting,2014,5.364519119
shooting,2015,5.286530018
shooting,2016,15.60062408
shooting,2017,25.60163879
shooting,2018,5.036007404
shooting,2019,14.88464355
shooting,2020,34.48275757
shooting,2021,24.59903526
shooting,2022,34.15467072
shooting,2023,4.813941002
theftfrommv,2014,450.6195984
theftfrommv,2015,338.3379211
theftfrommv,2016,228.8091583
theftfrommv,2017,327.7009583
theftfrommv,2018,266.9083862
theftfrommv,2019,248.0773926
theftfrommv,2020,216.748764
theftfrommv,2021,201.7120972
theftfrommv,2022,332.161941
theftfrommv,2023,365.8595276
theftover,2014,32.18711472
theftover,2015,42.29224014
theftover,2016,41.6016655
theftover,2017,87.04557037
theftover,2018,65.46809387
theftover,2019,39.69238281
theftover,2020,19.70443344
theftover,2021,34.43864822
theftover,2022,63.4301033
theftover,2023,96.27882385
assault,2014,722.5250244
assault,2015,804.9182129
assault,2016,828.0134277
assault,2017,852.7324829
assault,2018,776.3310547
assault,2019,861.9130859
assault,2020,766.6506958
assault,2021,801.3395386
assault,2022,906.0223999
assault,2023,1223.313477
autotheft,2014,234.5037384
autotheft,2015,202.8140411
autotheft,2016,240.187088
autotheft,2017,192.954071
autotheft,2018,189.4981384
autotheft,2019,415.8881226
autotheft,2020,311.4518433
autotheft,2021,364.7889099
autotheft,2022,752.0578003
autotheft,2023,558.7249146
biketheft,2014,44.36557388
biketheft,2015,25.35175514
biketheft,2016,56.88641739
biketheft,2017,24.89729881
biketheft,2018,61.12842941
biketheft,2019,48.21891403
biketheft,2020,29.94729233
biketheft,2021,35.88087463
biketheft,2022,35.28789037
biketheft,2023,47.05052185
breakenter,2014,190.1381683
breakenter,2015,209.1519775
breakenter,2016,176.9799652
breakenter,2017,161.8324432
breakenter,2018,256.7394104
breakenter,2019,223.0124817
breakenter,2020,269.5256348
breakenter,2021,167.4440918
breakenter,2022,189.494873
breakenter,2023,435.2173157
homicide,2014,6.337938786
homicide,2015,0
homicide,2016,0
homicide,2017,0
homicide,2018,6.112843037
homicide,2019,12.05472851
homicide,2020,11.97891712
homicide,2021,0
homicide,2022,0
robbery,2014,190.1381683
robbery,2015,158.4484711
robbery,2016,69.52783966
robbery,2017,93.36486816
robbery,2018,207.8366699
robbery,2019,120.547287
robbery,2020,41.9262085
robbery,2021,65.78160858
robbery,2022,148.0428772
robbery,2023,164.6768188
shooting,2014,25.35175514
shooting,2015,12.67587757
shooting,2016,12.64142609
shooting,2017,31.12162399
shooting,2018,12.22568607
shooting,2019,42.19155121
shooting,2020,17.96837616
shooting,2021,0
shooting,2022,23.68685913
shooting,2023,17.64394569
theftfrommv,2014,367.6004639
theftfrommv,2015,323.2348938
theftfrommv,2016,391.8842163
